property_id,page_number,type,link
36270689,1,rooms,https://www.airbnb.com/rooms/36270689
16466741,1,rooms,https://www.airbnb.com/rooms/16466741
35860582,1,rooms,https://www.airbnb.com/rooms/35860582
17324660,1,rooms,https://www.airbnb.com/rooms/17324660
40589219,1,rooms,https://www.airbnb.com/rooms/40589219
22800390,1,rooms,https://www.airbnb.com/rooms/22800390
34214562,1,rooms,https://www.airbnb.com/rooms/34214562
25733959,1,rooms,https://www.airbnb.com/rooms/25733959
36205117,1,rooms,https://www.airbnb.com/rooms/36205117
28556710,1,rooms,https://www.airbnb.com/rooms/28556710
13699775,1,rooms,https://www.airbnb.com/rooms/13699775
29961456,1,rooms,https://www.airbnb.com/rooms/29961456
14118683,1,rooms,https://www.airbnb.com/rooms/14118683
21880998,1,rooms,https://www.airbnb.com/rooms/21880998
7527205,1,rooms,https://www.airbnb.com/rooms/7527205
27517581,1,rooms,https://www.airbnb.com/rooms/27517581
29954780,1,rooms,https://www.airbnb.com/rooms/29954780
1644690,1,rooms,https://www.airbnb.com/rooms/1644690
22175608,1,rooms,https://www.airbnb.com/rooms/22175608
32738023,1,rooms,https://www.airbnb.com/rooms/32738023
26413973,2,rooms,https://www.airbnb.com/rooms/26413973
22499341,2,rooms,https://www.airbnb.com/rooms/22499341
37990400,2,rooms,https://www.airbnb.com/rooms/37990400
16466140,2,rooms,https://www.airbnb.com/rooms/16466140
18142298,2,rooms,https://www.airbnb.com/rooms/18142298
10258063,2,rooms,https://www.airbnb.com/rooms/10258063
27257473,2,rooms,https://www.airbnb.com/rooms/27257473
21196492,2,rooms,https://www.airbnb.com/rooms/21196492
25245428,2,rooms,https://www.airbnb.com/rooms/25245428
35697758,2,rooms,https://www.airbnb.com/rooms/35697758
32458788,2,rooms,https://www.airbnb.com/rooms/32458788
38352726,2,rooms,https://www.airbnb.com/rooms/38352726
34373703,2,rooms,https://www.airbnb.com/rooms/34373703
16464956,2,rooms,https://www.airbnb.com/rooms/16464956
8684278,2,rooms,https://www.airbnb.com/rooms/8684278
39519043,2,rooms,https://www.airbnb.com/rooms/39519043
18092945,2,rooms,https://www.airbnb.com/rooms/18092945
42851060,2,rooms,https://www.airbnb.com/rooms/42851060
31017085,2,rooms,https://www.airbnb.com/rooms/31017085
23644561,2,rooms,https://www.airbnb.com/rooms/23644561
